year,month,day,co2_concentration,ch4_concentration,co2e,decimal_year
1987,9,16,346.8,1.68256,388.86400000000003,1987.7077625570778
1987,9,17,346.89,1.68004,388.89099999999996,1987.7105022831051
1987,9,18,347.03,1.68181,389.07525,1987.7132420091325
1987,9,20,344.97,1.70275,387.53875000000005,1987.7187214611872
1987,9,21,344.74,1.71866,387.7065,1987.7214611872148
1987,9,22,344.64,1.71406,387.4915,1987.7242009132422
1987,9,23,345.39,1.7103599999999999,388.149,1987.7269406392695
1987,9,26,346.06,1.70275,388.62875,1987.7351598173516
1987,9,29,346.29,1.6887100000000002,388.50775000000004,1987.7433789954339
1987,9,30,346.11,1.69227,388.41675000000004,1987.7461187214612
1987,10,1,345.52,1.7193399999999999,388.5035,1987.75
1987,10,2,345.4,1.72513,388.52824999999996,1987.7527397260274
1987,10,3,345.25,1.7241600000000001,388.354,1987.7554794520547
1987,10,7,346.51,1.67211,388.31275,1987.7664383561644
1987,10,8,346.53,1.6859600000000001,388.679,1987.7691780821917
1987,10,9,345.8,1.67975,387.79375,1987.771917808219
1987,10,10,345.64,1.71056,388.404,1987.7746575342467
1987,10,13,345.17,1.6785999999999999,387.135,1987.7828767123287
1987,10,15,346.4,1.68684,388.57099999999997,1987.7883561643835
1987,10,17,345.96,1.6908900000000002,388.23224999999996,1987.7938356164384
1987,10,18,346.08,1.68819,388.28475,1987.7965753424658
1987,10,19,347.01,1.6851900000000002,389.13975,1987.7993150684931
1987,10,20,346.99,1.66995,388.73875,1987.8020547945205
1987,10,21,346.58,1.69384,388.926,1987.804794520548
1987,10,22,346.62,1.6941700000000002,388.97425,1987.8075342465754
1987,10,25,346.49,1.72164,389.531,1987.8157534246575
1987,10,26,346.22,1.71997,389.21925000000005,1987.8184931506848
1987,10,27,346.34,1.7153900000000002,389.22475,1987.8212328767124
1987,10,28,346.37,1.71069,389.13725,1987.8239726027398
1987,10,29,346.02,1.72176,389.06399999999996,1987.8267123287671
1987,10,30,346.05,1.7214200000000002,389.0855,1987.8294520547945
